Год,Название,Тикер,Дефолт,Надежность,Примечание
2012,Норникель,GMKN,н/п,н/п,
2012,ЛСР,LSRG,н/п,н/п,
2012,Роснефть,ROSN,н/п,н/п,
2012,ПИК,PIKK,н/п,н/п,
2012,Газпром,GAZP,н/п,н/п,
2012,АФК Система,AFKS,н/п,н/п,
2012,Транснефть,TRNFP,н/п,н/п,
2012,Полюс,PLZL,н/п,н/п,
2012,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2012,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2012,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2012,USD/RUB,USD_RUB,н/п,н/п,
2012,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2012,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2013,ОФЗ-26204,SU26204RMFS6,-,+,
2013,ВТБ-06,RU000A0JNGU3,-,+,
2013,РЖД-28,RU000A0JTU85,-,+,
2013,КАСКАД-01,RU000A0JTZ56,+,-,
2013,ЮТэйр-Финанс-05,RU000A0JRN60,-,-,
2013,Магнит,MGNT,н/п,н/п,
2013,ВТБ,VTBR,н/п,н/п,
2013,Сбер,SBER,н/п,н/п,
2013,Норникель,GMKN,н/п,н/п,
2013,ЛСР,LSRG,н/п,н/п,
2013,Роснефть,ROSN,н/п,н/п,
2013,ПИК,PIKK,н/п,н/п,
2013,Газпром,GAZP,н/п,н/п,
2013,АФК Система,AFKS,н/п,н/п,
2013,Мосбиржа,MOEX,н/п,н/п,
2013,Транснефть,TRNFP,н/п,н/п,
2013,Полюс,PLZL,н/п,н/п,
2013,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2013,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2013,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2013,USD/RUB,USD_RUB,н/п,н/п,
2013,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2013,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2014,ОФЗ-26210,SU26210RMFS3,-,+,
2014,Башнефть-04,RU000A0JS3U0,-,+,
2014,РусГидро-08,RU000A0JTMK9,-,+,
2014,СУ-155 Капитал-04,RU000A0JS7D7,+,-,
2014,ЮТэйр-Финанс-БО-09,RU000A0JTBH8,+,-,
2014,Магнит,MGNT,н/п,н/п,
2014,ВТБ,VTBR,н/п,н/п,
2014,Сбер,SBER,н/п,н/п,
2014,Норникель,GMKN,н/п,н/п,
2014,ЛСР,LSRG,н/п,н/п,
2014,Роснефть,ROSN,н/п,н/п,
2014,ПИК,PIKK,н/п,н/п,
2014,Газпром,GAZP,н/п,н/п,
2014,АФК Система,AFKS,н/п,н/п,
2014,Яндекс,YDEX,н/п,н/п,
2014,Мосбиржа,MOEX,н/п,н/п,
2014,Транснефть,TRNFP,н/п,н/п,
2014,Полюс,PLZL,н/п,н/п,
2014,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2014,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2014,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2014,USD/RUB,USD_RUB,н/п,н/п,
2014,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2014,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2015,ОФЗ-26214,SU26214RMFS5,-,+,
2015,МТС-08,RU000A0JR4J2,-,+,
2015,РЖД-30,RU000A0JUAH8,-,+,
2015,Трансаэро-БО-02,RU000A0JUCY9,+,-,
2015,АгроКомплекс-01,RU000A0JSL87,+,-,
2015,Магнит,MGNT,н/п,н/п,
2015,ВТБ,VTBR,н/п,н/п,
2015,Сбер,SBER,н/п,н/п,
2015,Норникель,GMKN,н/п,н/п,
2015,ЛСР,LSRG,н/п,н/п,
2015,Роснефть,ROSN,н/п,н/п,
2015,ПИК,PIKK,н/п,н/п,
2015,Газпром,GAZP,н/п,н/п,
2015,АФК Система,AFKS,н/п,н/п,
2015,Яндекс,YDEX,н/п,н/п,
2015,Мосбиржа,MOEX,н/п,н/п,
2015,Транснефть,TRNFP,н/п,н/п,
2015,Полюс,PLZL,н/п,н/п,
2015,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2015,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2015,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2015,USD/RUB,USD_RUB,н/п,н/п,
2015,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2015,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2016,ОФЗ-26217,SU26217RMFS8,-,+,
2016,ФСК ЕЭС-25,RU000A0JT2K2,-,+,
2016,РЖД-33,RU000A0JVB19,-,+,
2016,Татфондбанк-БО-14,RU000A0JVGH3,+,-,
2016,Пересвет-БО-П02,RU000A0JVVL4,+,-,
2016,Магнит,MGNT,н/п,н/п,
2016,ВТБ,VTBR,н/п,н/п,
2016,Сбер,SBER,н/п,н/п,
2016,Норникель,GMKN,н/п,н/п,
2016,ЛСР,LSRG,н/п,н/п,
2016,Роснефть,ROSN,н/п,н/п,
2016,ПИК,PIKK,н/п,н/п,
2016,Газпром,GAZP,н/п,н/п,
2016,АФК Система,AFKS,н/п,н/п,
2016,Яндекс,YDEX,н/п,н/п,
2016,Мосбиржа,MOEX,н/п,н/п,
2016,Транснефть,TRNFP,н/п,н/п,
2016,Полюс,PLZL,н/п,н/п,
2016,Сургутнефтегаз-П,SNGSP,н/п,н/п,
2016,Банковская ставка RUB,BANK_DEPOSIT_RATE_RUB,н/п,н/п,
2016,Золото/RUB TOM,GLDRUB_TOM,н/п,н/п,
2016,USD/RUB,USD_RUB,н/п,н/п,
2016,Фонд RU000A0EQ3Q5,RU000A0EQ3Q5,н/п,н/п,
2016,Фонд RU000A0JR282,RU000A0JR282,н/п,н/п,
,,,,,
2017,ОФЗ-26209,SU26209RMFS5,-,+,
2017,РСХБ-21,RU000A0JU1Q8,-,+,
2017,Роснефть-001P-01,RU000A0JX132,-,+,
2017,Домашние деньги-БО-001P-01,RU000A0JXPH0,+,-,
2017,Гарант-Инвест-001P-01,RU000A0JXRT1,-,-,
2017,Магнит,MGNT,н/п,н/п,
2017,ВТБ,VTBR,н/п,н/п,
2017,Сбер,SBER,н/п,н/п,
2017,Норникель,GMKN,н/п,н/п,
2017,ЛСР,LSRG,н/п,н/п,
2017,Роснефть,ROSN,н/п,н/п,
2017,ПИК,PIKK,н/п,н/п,
